ID,Program of Study,Gender,Nationality,Place of Birth,My current semester is:,Father's Education,Mother's Education,Parental Income,Any close family member with the same profession available for guidance,Availing any scholarship,I opted for this program of study because of my own interest.,Basic Education Stream,Intermediate Stream,Matric Percentage ,Intermediate Percentage ,SGPA in BS First semester ,SGPA in BS Second semester ,PredictedSGPA of BS Third semester ,Predicted Grade (based on SGPA) of 3rd semester,PredictedCGPA of BS third sem.,Predicted Grade (based on CGPA) of 3rd semester,I understand the lecture more clearly if delivered in:,I understand the lecture more clearly if delivered on:,I understand the lecture more clearly if my sitting place is in:,I understand the lecture more clearly if the duration is:,I understand the lecture more clearly if delivered by:,I understand the lecture more clearly if the number of students in classroom are:,I understand the lecture more clearly if:,Lecture attendance has a positive effect on my academic performance.,TVFs often reschedule classes that negatively impacts my performance.,TVFs are very difficult to access after class timings and hence I am unable to clarify my concepts.,TVFs do not provide assessment results timely so I remain unaware of my standing in class.,TVFs are not aware of the university's curriculum and other requirements.,TVFs grade students according to their own beliefs and criteria and hence my GPA suffers.,TVFs are not very well prepared for the lectures due to their busy schedule.,TVFs have short-term relations with students and hence do not show sincere behavior to polish my academic skills. ,What is your residence place?,An ample amount of time is consumed on daily commuting and all energy is drained during travelling.,"Due to class/ lab cancellation or roads blockage, lots of time get wasted due to fixed official transport timings.",Hostelite can be more focused towards their studies whereas a day scholar may have a lot of distractions due to family issues.,"Hostelites have more opportunities to engage with their peers and participate in social events, that improve their performance.","Hostelites have better access to campus resources like libraries, instructors, labs and also get benefit of group study. ",Hostelites have a big social circle and connections with seniors who can guide them in studies and in other academic and administrative issues.,Un-announced quizzes are quite stressful and cause unnecessary anxiety and pressure on students.,Un-announced quizzes are a form of torture and have negative impact on learning environment.,I am not usually prepared for surprise quizzes and hence these are not true measures of my knowledge and understandings.,Un-announced quizzes are a waste of time and energy and are not effective and productive in the long term.,I cannot miss a single class despite my health or any other emergency situations due to unannounced quizzes as it badly effects my grade.,"I usually do not perform very well in surprise quizzes, hence lose my interest in the subject.","Due to overall academic workload, it is not possible to study/ practice each subject on daily basis, to prepare myself for unannounced quizzes.",Class Representative (CR) is favored more than any ordinary student as he/ she is in more contact with teachers.,"If a student is more active in class, then it is more likely that the teacher would be lenient during his/ her exam checking. ","Some teachers show more kindness towards female students, and it is clearly reflected in their grades. ",Preferential treatment with selective students creates a negative classroom environment and affects the learning experience. ,Discrimination distracts me from focusing on the course and I lose interest in attending the classes. ,"Discrimination negatively effects my mental condition, confidence, and overall engagement in the classroom. ",A proper classroom environment and discipline is not possible to maintain in online environment.,"Due to lack of technical expertise, senior instructors struggle a lot in online lectures, and I lose my interest.",It is difficult to convey complex concepts in online mode and hence quality of education suffers.,"It becomes a hobby to watch recorded lectures later on, so I try to cover a lot of content in a short time that becomes difficult to absorb.",I am easily distracted by social media and other sources of interruptions during online lectures.,"It reduces social interaction that results in a feeling of isolation, and I lose interest in studies.","It is easier for students to cheat in online exams, leading to academic dishonesty and hence I lose my motivation.",Lack of technical resources create disruptions during lectures and make it difficult to understand. ,I prefer to revise the lectures daily or before the next class of the same subject.,I frequently make use of You tube or Chat GPT for understanding of different concepts.,I enjoy and perform well in non-technical (Humanities/ Management/ Social Science) courses.,I am usually well prepared for exams but unable to attempt properly due to exam stress.,Instructors often miss lectures and arrange makeup classes that further increases my burden.,My classes schedule is usually very tight that hinders the process of learning.,I often come across health issues that effect my academic performance.,My preferable mode of study is:,My preferable time of study is:,My overall mobile usage (daily) for non-academic purpose is limited to:,
40,Mathematics,Male,Pakistani,Punjab,8th,MS,Below Matric,Between 50K~1Lac,NO,NO,5,Matric,FSc/ ICS,75,80,3.8,3.7,3.5,A,3.67,A,Language does not effect my performance,Mode of lecture delivery does not effect my performance,Sitting place does not effect my performance,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,5,4,3,3,3,3,3,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Independent study,Day time,3~4 hours,
41,Mathematics,Male,Pakistani,KPK,7th,Below Matric,Below Matric,Between 30K~50K,NO,NO,2,Matric,FSc/ ICS,72,61,2.9,2.9,2.9,C,2.90,C,Urdu,Whiteboard,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,1,2,2,2,2,2,2,2,2,2,3,1,1,1,1,4,4,4,4,2,4,3,4,5,5,4,4,4,4,4,4,4,4,4,5,4,2,4,2,4,5,4,5,Group study,Late night,3~4 hours,
42,Statistics,Male,Pakistani,Punjab,4th,Below Matric,Intermediate,Between 30K~50K,NO,NO,1,Matric,FSc/ ICS,58.18,53.33,2.91,3.16,3.9,A,3.32,B,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Number of students does not effect my performance,Only understand the concepts without noting them down,1,3,3,4,3,3,3,3,1,4,4,1,3,4,4,4,3,3,4,3,3,5,1,3,3,5,3,3,4,4,3,3,4,4,3,4,3,4,1,3,5,3,4,Group study,Day time,1~2 hours,
43,Mathematics,Male,Pakistani,Punjab,5th,Matric,Below Matric,Between 1Lac~2Lac,NO,NO,2,Matric,FSc/ ICS,70,80,2.5,2.3,2.44,D,2.41,D,Urdu,Whiteboard,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,1,2,1,4,4,4,3,2,3,1,4,4,2,2,4,4,4,2,4,4,4,4,5,1,5,2,3,4,4,4,4,4,4,4,4,2,1,2,1,1,2,2,Group study,Day time,3~4 hours,
44,Mathematics,Male,Pakistani,Punjab,5th,Intermediate,MS,Between 30K~50K,YES,NO,4,Matric,FSc/ ICS,80,94,3.9,4,3.8,A,3.90,A,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,3,2,2,2,2,2,2,2,4,5,3,4,4,4,3,2,4,2,4,4,4,5,3,3,4,4,4,5,3,5,2,2,4,5,5,4,5,3,4,4,4,3,Independent study,Late night,1~2 hours,
45,Mathematics,Male,Pakistani,Federal/ Capital,5th,Below Matric,Below Matric,Below 30K,NO,NO,5,Matric,FSc/ ICS,65,57,3.41,3.4,3.21,B,3.34,B,Urdu,Whiteboard,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,5,4,3,3,3,5,1,2,2,3,5,5,5,5,5,5,5,5,5,5,4,5,1,1,4,3,4,3,1,5,5,3,3,3,3,3,5,5,3,5,5,3,3,Independent study,Late night,3~4 hours,
46,Mathematics,Male,Pakistani,International,5th,Matric,Intermediate,Between 50K~1Lac,YES,NO,2,Matric,FSc/ ICS,84,67,3,3,2.85,C,2.95,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,2,3,3,4,3,5,5,4,2,3,5,4,3,4,3,4,4,5,4,4,4,4,5,4,3,5,5,5,3,3,4,5,4,3,3,3,2,5,3,4,5,5,4,Independent study,Late night,More than 8 hours,
47,Mathematics,Male,Pakistani,Federal/ Capital,4th,BS,BS,Between 1Lac~2Lac,NO,NO,3,Matric,FSc/ ICS,86,78,1.5,2.5,2.5,C,2.17,D,Urdu,Whiteboard,Last row,1 hour,Male instructor,Not more than 30,Notes taking has no relation with my academic performance,4,3,2,2,2,2,2,2,1,4,3,4,4,3,4,5,5,2,5,3,4,4,3,2,2,2,2,2,5,5,5,5,2,4,4,4,2,1,4,4,4,5,1,Independent study,Day time,5~6 hours,
48,Mathematics,Male,Pakistani,Punjab,5th,Matric,Below Matric,Between 50K~1Lac,NO,NO,3,Matric,FSc/ ICS,85.27,77.27,4,4,3.9,A,3.97,A,Mix of both English and Urdu,Whiteboard,Middle row,1 hour,Male instructor,Not more than 30,I take notes during lecture,1,3,4,4,3,4,4,4,1,4,4,2,3,5,5,5,5,4,2,4,5,5,2,4,3,5,2,3,5,4,3,5,4,3,4,3,4,4,5,5,5,4,1,Independent study,Day time,5~6 hours,
49,Arts & Architecture,Female,Pakistani,International,5th,BS,MS,Between 1Lac~2Lac,NO,NO,4,Matric,FSc/ ICS,68,71,3.9,3.93,3.95,A,3.93,A,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,3,4,3,5,2,5,3,5,1,5,5,4,4,4,4,3,3,3,4,1,3,5,4,5,3,4,4,4,3,5,5,5,1,1,5,4,4,5,4,5,5,5,3,Independent study,Late night,3~4 hours,
50,Arts & Architecture,Female,Pakistani,Federal/ Capital,7th,MS,Intermediate,Between 50K~1Lac,NO,NO,4,Matric,FSc/ ICS,78,79,3.6,3.7,3.9,A,3.73,A,Language does not effect my performance,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,3,4,2,3,3,3,4,3,1,4,3,4,3,4,4,4,4,4,4,3,3,4,3,4,3,3,3,4,4,4,4,4,5,4,4,4,1,5,3,3,4,4,4,Group study,Late night,7~8 hours,
51,Arts & Architecture,Female,Pakistani,Punjab,5th,Below Matric,Below Matric,Between 50K~1Lac,NO,NO,5,Matric,FSc/ ICS,67,64,2.7,3,3.2,B,2.97,C,Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,4,4,4,3,4,5,5,2,4,4,4,5,5,4,4,4,3,3,4,4,2,4,4,1,5,3,2,2,5,1,4,3,5,2,3,4,4,2,3,2,3,3,Independent study,Day time,5~6 hours,
52,Arts & Architecture,Female,Pakistani,Federal/ Capital,6th,Intermediate,Intermediate,Between 1Lac~2Lac,YES,NO,3,Matric,FSc/ ICS,80,70,3.01,3.4,3.2,B,3.21,B,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Number of students does not effect my performance,Only understand the concepts without noting them down,5,2,2,2,2,3,2,2,1,4,5,3,2,5,3,4,3,2,2,2,2,5,5,3,3,2,2,4,2,2,3,2,2,2,2,2,2,4,3,3,4,4,3,Group study,Day time,3~4 hours,
53,Arts & Architecture,Female,Pakistani,Federal/ Capital,7th,MS,Intermediate,Above 3Lac,YES,NO,5,Matric,FSc/ ICS,89,69,3.9,3.87,3.8,A,3.86,A,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Only understand the concepts without noting them down,1,5,3,3,3,5,4,4,1,5,5,5,5,4,5,3,3,3,2,1,2,4,4,5,5,5,1,1,1,5,4,5,4,5,5,5,2,3,4,1,5,5,4,Group study,Late night,5~6 hours,
54,Arts & Architecture,Female,Pakistani,KPK,5th,BS,Below Matric,Between 1Lac~2Lac,NO,NO,3,Matric,FSc/ ICS,89,64,3.16,4,4,A,3.73,A,Mix of both English and Urdu,Mode of lecture delivery does not effect my performance,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,3,4,2,2,4,2,2,1,3,3,5,3,3,4,3,2,3,3,3,2,4,4,4,3,4,2,2,4,3,4,4,5,3,3,4,3,4,3,3,5,4,4,Independent study,Late night,5~6 hours,
55,Arts & Architecture,Female,Pakistani,International,5th,Below Matric,Below Matric,Below 30K,NO,NO,4,Matric,FSc/ ICS,70,72,2.7,2.9,2.9,C,2.83,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1.5 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,3,3,4,3,3,3,4,4,2,3,3,4,5,5,3,3,4,5,4,4,3,4,3,4,5,3,3,3,5,4,3,2,4,3,5,3,4,4,4,5,5,4,5,Group study,Late night,1~2 hours,
56,Arts & Architecture,Female,Pakistani,Punjab,5th,BS,BS,Between 1Lac~2Lac,NO,NO,5,Matric,FSc/ ICS,76,78,3.9,4,4,A,3.97,A,Language does not effect my performance,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,5,3,4,3,3,2,2,2,1,2,2,3,3,3,3,4,2,2,2,2,2,4,4,4,3,4,2,2,4,4,4,4,2,2,2,4,4,4,4,3,4,3,2,Independent study,Late night,3~4 hours,
57,Arts & Architecture,Female,Pakistani,Federal/ Capital,7th,Intermediate,MS,Between 50K~1Lac,NO,NO,4,Matric,FSc/ ICS,64,67,1.5,2.2,2.2,D,1.97,E,Mix of both English and Urdu,Whiteboard,Middle row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,2,4,4,4,4,2,3,4,1,3,4,5,3,3,3,2,2,2,2,2,2,2,4,4,2,4,2,2,4,4,3,4,2,4,3,2,3,2,4,4,5,4,4,Independent study,Day time,3~4 hours,
58,Arts & Architecture,Female,Pakistani,Punjab,7th,BS,BS,Between 30K~50K,NO,NO,5,Matric,FSc/ ICS,80,70,3.75,3.91,3.91,A,3.86,A,Language does not effect my performance,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,4,3,2,3,4,2,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4,4,Group study,Day time,3~4 hours,
59,Arts & Architecture,Female,Pakistani,Federal/ Capital,7th,BS,MS,Between 50K~1Lac,NO,YES,5,Matric,FSc/ ICS,60,60,3.16,2.72,2.76,C,2.88,C,Mix of both English and Urdu,Whiteboard,First row,1.5 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,5,4,4,4,1,1,3,3,1,5,5,5,5,1,1,1,1,1,3,1,3,2,1,3,2,1,1,4,4,3,5,5,5,5,5,3,4,5,4,3,5,4,5,Independent study,Late night,3~4 hours,
60,Arts & Architecture,Female,Pakistani,Federal/ Capital,6th,BS,BS,Between 50K~1Lac,NO,NO,5,Matric,FSc/ ICS,90,92,3.8,3.3,3.5,A,3.53,A,Mix of both English and Urdu,Mode of lecture delivery does not effect my performance,Sitting place does not effect my performance,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Number of students does not effect my performance,Only understand the concepts without noting them down,1,1,3,3,3,3,3,3,1,5,4,4,3,4,3,2,4,3,3,3,3,3,4,4,3,3,3,3,2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,Independent study,Late night,3~4 hours,
61,Arts & Architecture,Female,Pakistani,Punjab,5th,Intermediate,Matric,Between 2Lac~3Lac,NO,NO,3,Matric,FSc/ ICS,80,75,3.2,3.8,3.8,A,3.60,A,Mix of both English and Urdu,Power point,First row,1 hour,Female instructor,Number of students does not effect my performance,I take notes during lecture,5,3,4,4,4,3,2,4,1,2,2,2,3,4,3,5,5,4,4,2,2,2,4,4,3,4,4,5,3,2,4,4,4,4,4,4,3,4,4,5,4,4,3,Independent study,Late night,5~6 hours,
62,Arts & Architecture,Female,Pakistani,Punjab,6th,Intermediate,Below Matric,Between 50K~1Lac,NO,NO,1,Matric,FSc/ ICS,80,83,2.5,2.7,2.9,C,2.70,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1.5 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,4,1,4,2,2,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Group study,Late night,5~6 hours,
63,Arts & Architecture,Female,Pakistani,Punjab,6th,Below Matric,Intermediate,Between 30K~50K,NO,NO,5,Matric,FSc/ ICS,68,71,2.5,3.6,3,B,3.05,B,Language does not effect my performance,Mode of lecture delivery does not effect my performance,Sitting place does not effect my performance,1.5 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,3,3,2,2,2,3,2,2,1,5,5,4,4,4,4,3,2,3,2,3,2,4,2,3,2,3,2,2,2,2,3,3,4,2,4,3,2,4,3,2,4,2,2,Independent study,Late night,More than 8 hours,
64,Arts & Architecture,Female,Pakistani,Punjab,7th,Intermediate,Intermediate,Between 30K~50K,NO,YES,4,Matric,FSc/ ICS,80,75,3.9,3.87,3.75,A,3.84,A,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1.5 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,3,2,2,2,3,2,3,1,4,4,2,2,2,2,3,3,3,3,2,2,2,3,4,2,3,2,2,2,2,3,2,2,2,2,3,3,4,4,2,4,4,2,Independent study,Late night,1~2 hours,
65,Arts & Architecture,Female,Pakistani,Punjab,7th,Below Matric,Below Matric,Between 1Lac~2Lac,NO,NO,3,Matric,FSc/ ICS,78,80,3.8,3.8,3.6,A,3.73,A,Language does not effect my performance,Mode of lecture delivery does not effect my performance,Sitting place does not effect my performance,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,4,3,2,2,3,4,3,4,1,4,3,5,4,3,3,4,3,4,3,4,2,3,4,4,4,4,2,2,5,3,5,4,4,4,4,4,3,4,3,2,4,4,3,Independent study,Late night,3~4 hours,
66,Arts & Architecture,Female,Pakistani,Federal/ Capital,6th,Matric,Below Matric,Between 1Lac~2Lac,NO,NO,5,Matric,FSc/ ICS,75,82,2.45,2.56,2.65,C,2.55,C,Urdu,Whiteboard,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Only understand the concepts without noting them down,4,2,2,2,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,Independent study,Day time,3~4 hours,
67,Arts & Architecture,Female,Pakistani,Punjab,5th,BS,Intermediate,Between 1Lac~2Lac,NO,NO,3,Matric,FSc/ ICS,70,70,2.8,2.9,2.8,C,2.83,C,Mix of both English and Urdu,Whiteboard,Middle row,1 hour,Female instructor,Not more than 30,I take notes during lecture,3,3,3,3,3,3,3,3,1,4,4,4,4,4,4,5,5,4,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,Independent study,Day time,3~4 hours,
68,Arts & Architecture,Female,Pakistani,KPK,5th,BS,Below Matric,Between 2Lac~3Lac,NO,NO,4,Matric,FSc/ ICS,79,75,3.5,3.6,3.67,A,3.59,A,Language does not effect my performance,Mode of lecture delivery does not effect my performance,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,3,4,4,4,2,2,2,1,4,5,5,4,4,4,5,4,3,3,3,4,2,5,5,1,4,4,4,4,4,3,1,3,3,5,5,3,5,4,4,4,4,3,Independent study,Late night,5~6 hours,
69,Arts & Architecture,Female,Pakistani,Punjab,5th,BS,Below Matric,Above 3Lac,YES,NO,4,Matric,FSc/ ICS,70,75,2.1,2.3,2.4,D,2.27,D,Mix of both English and Urdu,Power point,Sitting place does not effect my performance,1 hour,Female instructor,Not more than 30,I take notes during lecture,4,4,4,4,3,4,5,5,1,4,5,5,4,4,4,5,5,5,4,5,5,5,5,5,5,3,4,4,1,1,2,2,3,3,3,2,1,5,4,4,5,5,4,Independent study,Day time,1~2 hours,
70,Arts & Architecture,Female,Pakistani,Federal/ Capital,5th,BS,BS,Between 50K~1Lac,NO,NO,4,Matric,FSc/ ICS,72,84,3.6,3.92,3.9,A,3.81,A,Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,3,3,3,3,3,3,3,3,1,5,4,4,3,3,3,5,5,4,4,4,4,3,2,3,4,3,3,3,4,3,3,3,3,3,3,3,2,5,4,4,3,3,3,Independent study,Late night,3~4 hours,
71,Arts & Architecture,Female,Pakistani,Federal/ Capital,6th,Intermediate,Intermediate,Between 50K~1Lac,NO,NO,3,Matric,FSc/ ICS,60,60,2,2.08,2.33,D,2.14,D,Language does not effect my performance,Power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,4,4,4,4,3,3,3,3,1,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Independent study,Late night,More than 8 hours,
72,Arts & Architecture,Female,Pakistani,Punjab,5th,Intermediate,BS,Between 1Lac~2Lac,NO,NO,3,Matric,FSc/ ICS,89,85,2.5,3,3.5,A,3.00,B,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,3,3,3,2,2,3,2,2,2,3,4,2,2,3,2,4,4,4,4,4,4,4,4,4,2,4,4,4,3,3,3,4,3,3,3,4,3,4,3,4,4,4,4,Group study,Day time,5~6 hours,
73,Arts & Architecture,Female,Pakistani,Federal/ Capital,5th,Below Matric,Below Matric,Between 30K~50K,NO,NO,5,Matric,FSc/ ICS,50,62,1.75,2.2,3,B,2.31,D,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,Duration of lecture does not effect my performance,Male instructor,Not more than 30,I take notes during lecture,5,2,2,2,2,2,2,2,1,4,3,4,4,4,4,4,2,4,4,5,4,4,4,3,2,4,2,2,5,4,3,4,4,4,4,4,4,4,3,5,5,5,2,Independent study,Day time,3~4 hours,
74,Arts & Architecture,Female,Pakistani,Balochistan,6th,BS,Matric,Between 30K~50K,NO,NO,4,Matric,FSc/ ICS,66.73,54.91,3.16,3.75,3.33,B,3.42,B,Language does not effect my performance,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,Notes taking has no relation with my academic performance,3,4,4,3,3,3,2,2,1,5,5,4,4,4,3,5,5,5,5,5,4,5,4,3,1,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Independent study,Late night,7~8 hours,
75,Arts & Architecture,Female,Pakistani,Federal/ Capital,6th,Intermediate,BS,Below 30K,NO,NO,3,Matric,FSc/ ICS,65,70,3.08,3.41,3.75,A,3.41,B,Mix of both English and Urdu,Whiteboard,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,1,3,3,3,3,3,3,3,1,5,5,5,5,5,5,4,3,5,4,3,3,5,3,3,3,5,4,5,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,Independent study,Late night,More than 8 hours,
76,Arts & Architecture,Female,Pakistani,Federal/ Capital,5th,BS,BS,Above 3Lac,NO,NO,4,Matric,FSc/ ICS,94,79,3.62,4,3.78,A,3.80,A,Mix of both English and Urdu,Power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Only understand the concepts without noting them down,3,3,3,3,3,3,3,3,2,4,4,1,1,1,1,5,3,4,4,4,4,4,5,5,5,3,4,4,4,5,3,4,4,4,4,4,3,2,4,3,2,4,4,Group study,Day time,More than 8 hours,
77,Arts & Architecture,Female,Pakistani,Punjab,5th,PhD/ Doctor,Below Matric,Between 50K~1Lac,NO,NO,5,Cambridge,FSc/ ICS,70,60,2.97,3,3,B,2.99,C,Urdu,Whiteboard,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,4,3,3,3,3,3,3,3,1,4,1,3,4,3,3,3,2,3,5,3,3,3,4,4,3,3,4,3,5,5,5,4,4,5,3,3,2,1,3,3,2,3,3,Group study,Late night,1~2 hours,
78,Arts & Architecture,Female,Pakistani,Punjab,5th,BS,BS,Between 50K~1Lac,NO,NO,2,Matric,FSc/ ICS,87,79,2.08,2.66,3.66,A,2.80,C,Language does not effect my performance,Whiteboard,Middle row,1.5 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,3,3,2,2,2,2,2,2,2,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,4,2,4,4,4,4,4,2,3,3,2,Independent study,Day time,3~4 hours,
79,Arts & Architecture,Female,Pakistani,International,5th,Below Matric,Below Matric,Between 50K~1Lac,NO,YES,3,Matric,FSc/ ICS,60,65,2.9,3.3,3.5,A,3.23,B,Mix of both English and Urdu,Whiteboard,First row,1 hour,Female instructor,Not more than 30,Only understand the concepts without noting them down,1,3,1,1,1,3,3,3,1,4,4,5,4,4,4,4,4,4,4,4,4,5,3,3,3,5,4,4,3,5,5,4,3,3,4,4,3,3,3,4,4,4,4,Independent study,Late night,3~4 hours,
80,Arts & Architecture,Female,Pakistani,KPK,6th,Intermediate,Matric,Between 50K~1Lac,NO,NO,5,Matric,FSc/ ICS,78,70.63,2.91,3.83,3.66,A,3.47,B,Mix of both English and Urdu,Whiteboard,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,5,4,3,2,2,3,2,2,2,4,2,3,3,4,2,4,4,4,2,4,4,4,3,4,3,4,5,5,4,4,4,4,4,3,5,4,3,2,4,5,5,4,5,Independent study,Day time,1~2 hours,
81,Arts & Architecture,Female,Pakistani,Punjab,5th,Intermediate,Matric,Between 30K~50K,NO,YES,4,Matric,FSc/ ICS,72,77,3.91,3.95,3.97,A,3.94,A,Mix of both English and Urdu,Mode of lecture delivery does not effect my performance,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Only understand the concepts without noting them down,3,3,3,4,3,3,3,3,1,3,4,4,4,5,4,4,4,3,4,5,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,Group study,Late night,5~6 hours,
82,Arts & Architecture,Female,Pakistani,Punjab,7th,Intermediate,Matric,Between 50K~1Lac,NO,NO,1,Cambridge,FSc/ ICS,79,86,3,2.74,2.75,C,2.83,C,Urdu,Whiteboard,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,1,3,1,3,3,5,5,5,1,1,1,2,2,4,4,4,1,5,1,3,3,4,5,5,5,4,3,3,3,3,3,5,5,3,3,3,3,4,4,5,4,3,5,Independent study,Late night,3~4 hours,
83,Arts & Architecture,Female,Pakistani,Federal/ Capital,7th,BS,Intermediate,Between 50K~1Lac,NO,NO,3,Matric,FSc/ ICS,60,60,3.5,3.3,3.2,B,3.33,B,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,4,3,4,2,2,2,3,1,5,3,1,1,1,1,5,5,4,4,3,3,4,4,4,1,4,4,4,4,4,4,2,3,3,4,4,3,4,4,4,5,4,2,Independent study,Late night,3~4 hours,
84,Arts & Architecture,Female,Pakistani,Punjab,5th,Matric,Matric,Between 30K~50K,NO,NO,4,Matric,FSc/ ICS,67.55,60,2.41,2.79,2.97,C,2.72,C,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Female instructor,Not more than 30,I take notes during lecture,5,3,2,2,2,3,3,2,1,4,5,4,3,4,4,4,4,3,3,4,3,4,3,4,4,4,3,3,4,3,4,4,4,3,4,4,4,4,3,4,4,4,3,Independent study,Late night,3~4 hours,
